"Region","Species","Species.Qualified","Conservation.Unit","CUID","Full.CU.Index"
"Skeena","Sockeye","SEL","Alastair",171,"SEL-20-01"
"Skeena","Sockeye","SEL","Asitika",190,"SEL-22-01"
"Skeena","Sockeye","SEL","Azuklotz",191,"SEL-22-02"
"Skeena","Sockeye","SEL","Babine/Onerka",180,"SEL-21-02-EW, SEL-21-13"
"Skeena","Sockeye","SEL","Babine (enhanced)",203,"SEL-21-02-F, "
"Skeena","Sockeye","SEL","Bear",192,"SEL-22-03"
"Skeena","Sockeye","SEL","Bulkley/Maxan",181,"SEL-21-03, SEL-21-06"
"Skeena","Sockeye","SEL","Damshilgwit",193,"SEL-22-04"
"Skeena","Sockeye","SEL","Ecstall/Lower",174,"SEL-20-04"
"Skeena","Sockeye","SEL","Footsore/Hodder",230,"SEL-21-12"
"Skeena","Sockeye","SEL","Gitanyow (Kitwanga/Kitwancool)",183,"SEL-21-05"
"Skeena","Sockeye","SEL","Johanson",194,"SEL-22-05"
"Skeena","Sockeye","SEL","Johnston",175,"SEL-20-05"
"Skeena","Sockeye","SEL","Kitsumkalum",176,"SEL-20-06"
"Skeena","Sockeye","SEL","Kluatantan",195,"SEL-22-06"
"Skeena","Sockeye","SEL","Kluayaz",196,"SEL-22-07"
"Skeena","Sockeye","SEL","Lakelse",177,"SEL-20-07"
"Skeena","Sockeye","SEL","Mcdonell/Dennis/Aldrich",178,"SEL-20-02, SEL-20-03, SEL-20-08"
"Skeena","Sockeye","SEL","Morice/Atna",185,"SEL-21-01, SEL-21-07"
"Skeena","Sockeye","SEL","Motase",197,"SEL-22-08"
"Skeena","Sockeye","SEL","Nilkitkwa",186,"SEL-21-02-LW"
"Skeena","Sockeye","SEL","Prudhomme",291,"SEL-19-49"
"Skeena","Sockeye","SEL","Shawatlan",292,"SEL-19-54"
"Skeena","Sockeye","SEL","Sicintine",198,"SEL-22-09"
"Skeena","Sockeye","SEL","Slamgeesh",199,"SEL-22-10"
"Skeena","Sockeye","SEL","Spawning",200,"SEL-22-11"
"Skeena","Sockeye","SEL","Stephens",187,"SEL-21-09"
"Skeena","Sockeye","SEL","Sustut",201,"SEL-22-12"
"Skeena","Sockeye","SEL","Tahlo/Morrison",189,"SEL-21-11"
"Skeena","Sockeye","SER","Skeena River (river-type)",226,"SER-18"
"Skeena","Sockeye","SER","Skeena River-High Interior (river-type)",216,"SER-19"
"Skeena","Pink","PKO","Lower Skeena River (odd)",209,"PKO-15"
"Skeena","Pink","PKO","Middle-Upper Skeena (odd)",213,"PKO-16"
"Skeena","Pink","PKO","Nass-Skeena Estuary (odd)",223,"PKO-14"
"Skeena","Pink","PKE","Middle-Upper Skeena (even)",218,"PKE-8"
"Skeena","Pink","PKE","Nass-Skeena Estuary (even)",219,"PKE-7"
"Skeena","Chinook","CK","Ecstall",205,"CK-46"
"Skeena","Chinook","CK","Kalum-Early",206,"CK-49"
"Skeena","Chinook","CK","Kalum-Late",207,"CK-50"
"Skeena","Chinook","CK","Lakelse",227,"CK-51"
"Skeena","Chinook","CK","Lower Skeena",210,"CK-48"
"Skeena","Chinook","CK","Middle Skeena-Large Lakes",222,"CK-53"
"Skeena","Chinook","CK","Middle Skeena-Mainstem Tributaries",217,"CK-54"
"Skeena","Chinook","CK","Skeena Estuary",224,"CK-45"
"Skeena","Chinook","CK","Upper Bulkley River",221,"CK-55"
"Skeena","Chinook","CK","Upper Skeena",212,"CK-56"
"Skeena","Chinook","CK","Zymoetz",229,"CK-80"
"Skeena","Coho","CO","Lower Skeena",202,"CO-32"
"Skeena","Coho","CO","Middle Skeena",215,"CO-33"
"Skeena","Coho","CO","Skeena Estuary",225,"CO-31"
"Skeena","Coho","CO","Upper Skeena",231,"CO-34"
"Skeena","Chum","CM","Lower Skeena",211,"CM-27"
"Skeena","Chum","CM","Middle Skeena",214,"CM-28"
"Skeena","Chum","CM","Skeena Estuary",220,"CM-26"
"Skeena","Chum","CM","Upper Skeena",242,""
"Skeena","Steelhead","SH","Babine",284,""
"Skeena","Steelhead","SH","Bulkley",287,""
"Skeena","Steelhead","SH","Kispiox",283,""
"Skeena","Steelhead","SH","Middle Skeena",285,""
"Skeena","Steelhead","SH","Morice",289,""
"Skeena","Steelhead","SH","Skeena Coastal Summers",288,""
"Skeena","Steelhead","SH","Skeena Coastal Winters",290,""
"Skeena","Steelhead","SH","Suskwa",286,""
"Skeena","Steelhead","SH","Upper Skeena",282,""
"Skeena","Steelhead","SH","Upper Skeena Headwaters",280,""
"Skeena","Steelhead","SH","Upper Sustut",281,""
"Nass","Sockeye","SEL","Bowser",420,"SEL-24-01"
"Nass","Sockeye","SEL","Clements",418,"SEL-23-01"
"Nass","Sockeye","SEL","Damdochax",421,"SEL-24-02"
"Nass","Sockeye","SEL","Fred Wright",422,"SEL-24-03"
"Nass","Sockeye","SEL","Kwinageese",423,"SEL-24-04"
"Nass","Sockeye","SEL","Leverson",419,"SEL-23-02"
"Nass","Sockeye","SEL","Meziadin",424,"SEL-24-05"
"Nass","Sockeye","SEL","Oweegee",425,"SEL-24-06"
"Nass","Sockeye","SER","Lower Nass-Portland (river-type)",426,"SER-20"
"Nass","Sockeye","SER","Upper Nass River (river-type)",427,"SER-21"
"Nass","Pink","PKO","Nass-Portland-Observatory (odd)",414,"PKO-17"
"Nass","Pink","PKO","Upper Nass (odd)",415,"PKO-18"
"Nass","Pink","PKE","Upper Nass (even)",412,"PKE-12"
"Nass","Chinook","CK","Portland Sound-Observatory Inlet-Lower Nass",401,"CK-57"
"Nass","Chinook","CK","Upper Nass",402,"CK-58"
"Nass","Coho","CO","Lower Nass",408,"CO-35"
"Nass","Coho","CO","Portland Sound-Observatory Inlet-Portland Canal",410,"CO-37"
"Nass","Coho","CO","Upper Nass",409,"CO-36"
"Nass","Chum","CM","Lower Nass",405,"CM-31"
"Nass","Chum","CM","Portland Canal-Observatory",406,"CM-32"
"Nass","Chum","CM","Portland Inlet",404,"CM-30"
"Nass","Steelhead","SH","Nass Summer",480,""
"Nass","Steelhead","SH","Nass Winter",481,""
"Central Coast","Sockeye","SEL","Backland",529,"SEL-18-01"
"Central Coast","Sockeye","SEL","Banks",540,"SEL-19-01"
"Central Coast","Sockeye","SEL","Bloomfield",541,"SEL-19-02"
"Central Coast","Sockeye","SEL","Bolton Creek",542,"SEL-19-03"
"Central Coast","Sockeye","SEL","Bonilla",543,"SEL-19-04"
"Central Coast","Sockeye","SEL","Borrowman Creek",544,"SEL-19-05"
"Central Coast","Sockeye","SEL","Busey Creek",545,"SEL-19-06"
"Central Coast","Sockeye","SEL","Canoona",532,"SEL-18-02"
"Central Coast","Sockeye","SEL","Cartwright Creek",546,"SEL-19-07"
"Central Coast","Sockeye","SEL","Chic Chic",547,"SEL-19-08"
"Central Coast","Sockeye","SEL","Curtis Inlet",550,"SEL-19-11"
"Central Coast","Sockeye","SEL","Dallain Creek",551,"SEL-19-12"
"Central Coast","Sockeye","SEL","Deer",552,"SEL-19-13"
"Central Coast","Sockeye","SEL","Devon",553,"SEL-19-14"
